Format Version,1.1,Take Name,Push position,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-04-06 03.30.29.136 PM,Total Frames,2698,Rotation Type,Quaternion

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2_1,Rigid Body 2_1,Rigid Body 2_1,Rigid Body 2_1,Rigid Body 2_2,Rigid Body 2_2,Rigid Body 2_2,Rigid Body 2_2,Rigid Body 2_3,Rigid Body 2_3,Rigid Body 2_3,Rigid Body 2_3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3_1,Rigid Body 3_1,Rigid Body 3_1,Rigid Body 3_1,Rigid Body 3_2,Rigid Body 3_2,Rigid Body 3_2,Rigid Body 3_2,Rigid Body 3_3,Rigid Body 3_3,Rigid Body 3_3,Rigid Body 3_3,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 2_1,Rigid Body 2_1,Rigid Body 2_1,Rigid Body 2_2,Rigid Body 2_2,Rigid Body 2_2,Rigid Body 2_3,Rigid Body 2_3,Rigid Body 2_3,Rigid Body 3_1,Rigid Body 3_1,Rigid Body 3_1,Rigid Body 3_2,Rigid Body 3_2,Rigid Body 3_2,Rigid Body 3_3,Rigid Body 3_3,Rigid Body 3_3,Marker_63186,Marker_63186,Marker_63186,Marker_62784,Marker_62784,Marker_62784,Marker_62790,Marker_62790,Marker_62790,Marker_63255,Marker_63255,Marker_63255,Marker_63294,Marker_63294,Marker_63294,Marker_63326,Marker_63326,Marker_63326,Marker_63400,Marker_63400,Marker_63400,Marker_63394,Marker_63394,Marker_63394,Marker_63396,Marker_63396,Marker_63396,Marker_63432,Marker_63432,Marker_63432,Marker_63446,Marker_63446,Marker_63446,Marker_63485,Marker_63485,Marker_63485,Marker_63494,Marker_63494,Marker_63494,Marker_63508,Marker_63508,Marker_63508,Marker_63533,Marker_63533,Marker_63533,Marker_63608,Marker_63608,Marker_63608,Marker_63601,Marker_63601,Marker_63601,Marker_63668,Marker_63668,Marker_63668,Marker_63682,Marker_63682,Marker_63682,Marker_63691,Marker_63691,Marker_63691,Marker_63701,Marker_63701,Marker_63701,Marker_62783,Marker_62783,Marker_62783,Marker_62787,Marker_62787,Marker_62787
,,"BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E3573300000001","8392B20CF49E3573300000001","8392B20CF49E3573300000001","8392B20CF49E3573300000002","8392B20CF49E3573300000002","8392B20CF49E3573300000002","8392B20CF49E3573300000003","8392B20CF49E3573300000003","8392B20CF49E3573300000003","8392B20CF49E3570F6D2","8392B20CF49E3570F6D2","8392B20CF49E3570F6D2","8392B20CF49E3570F540","8392B20CF49E3570F540","8392B20CF49E3570F540","8392B20CF49E3570F546","8392B20CF49E3570F546","8392B20CF49E3570F546","8392B20CF49E3570F717","8392B20CF49E3570F717","8392B20CF49E3570F717","8392B20CF49E3570F73E","8392B20CF49E3570F73E","8392B20CF49E3570F73E","8392B20CF49E3570F75E","8392B20CF49E3570F75E","8392B20CF49E3570F75E","8392B20CF49E3570F7A8","8392B20CF49E3570F7A8","8392B20CF49E3570F7A8","8392B20CF49E3570F7A2","8392B20CF49E3570F7A2","8392B20CF49E3570F7A2","8392B20CF49E3570F7A4","8392B20CF49E3570F7A4","8392B20CF49E3570F7A4","8392B20CF49E3570F7C8","8392B20CF49E3570F7C8","8392B20CF49E3570F7C8","8392B20CF49E3570F7D6","8392B20CF49E3570F7D6","8392B20CF49E3570F7D6","8392B20CF49E3570F7FD","8392B20CF49E3570F7FD","8392B20CF49E3570F7FD","8392B20CF49E3570F806","8392B20CF49E3570F806","8392B20CF49E3570F806","8392B20CF49E3570F814","8392B20CF49E3570F814","8392B20CF49E3570F814","8392B20CF49E3570F82D","8392B20CF49E3570F82D","8392B20CF49E3570F82D","8392B20CF49E3570F878","8392B20CF49E3570F878","8392B20CF49E3570F878","8392B20CF49E3570F871","8392B20CF49E3570F871","8392B20CF49E3570F871","8392B20CF49E3570F8B4","8392B20CF49E3570F8B4","8392B20CF49E3570F8B4","8392B20CF49E3570F8C2","8392B20CF49E3570F8C2","8392B20CF49E3570F8C2","8392B20CF49E3570F8CB","8392B20CF49E3570F8CB","8392B20CF49E3570F8CB","8392B20CF49E3570F8D5","8392B20CF49E3570F8D5","8392B20CF49E3570F8D5","8392B20CF49E3570F53F","8392B20CF49E3570F53F","8392B20CF49E3570F53F","8392B20CF49E3570F543","8392B20CF49E3570F543","8392B20CF49E3570F543"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker (m),Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker (m),Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker (m),Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.654274,-0.742767,0.085634,0.113531,-0.957633,1.336329,0.154062,0.000139,0.048675,-0.000659,0.053843,0.983126,0.006057,0.000377,-0.030025,0.949480,-0.054732,0.000282,-0.023818,0.962856,0.513490,-0.356666,-0.496124,0.602477,-0.605577,0.708201,0.522386,0.000399,0.032971,-0.001283,0.048825,0.910502,-0.073681,0.000913,-0.020616,0.885743,0.040710,0.000371,-0.028209,0.904610,0.173393,0.944620,0.242142,-0.137827,-0.702608,1.554708,0.245678,0.000517,-0.049604,0.020154,-0.005023,0.879019,-0.027515,-0.010959,0.019442,0.858288,0.077118,-0.009195,-0.014419,0.875292,-0.979111,1.385692,0.105392,-0.949595,1.341595,0.182934,-0.944195,1.281698,0.173857,-0.643251,0.663637,0.529140,-0.604644,0.784387,0.524637,-0.568836,0.676570,0.513383,-0.648825,1.555870,0.241312,-0.685529,1.548241,0.214865,-0.773471,1.560011,0.280848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.654146,-0.742891,0.085915,0.113247,-0.957656,1.336142,0.153728,0.000142,0.048675,-0.000659,0.053843,0.983126,0.006057,0.000377,-0.030025,0.949480,-0.054732,0.000282,-0.023818,0.962856,0.512089,-0.365443,-0.490270,0.603201,-0.609353,0.709057,0.526783,0.000486,0.032971,-0.001283,0.048825,0.910502,-0.073681,0.000913,-0.020616,0.885743,0.040710,0.000371,-0.028209,0.904610,0.172804,0.944789,0.242081,-0.137513,-0.702753,1.554689,0.245352,0.000518,-0.049604,0.020154,-0.005023,0.879019,-0.027515,-0.010959,0.019442,0.858288,0.077118,-0.009195,-0.014419,0.875292,-0.979155,1.385469,0.105023,-0.949626,1.341424,0.182578,-0.944189,1.281529,0.173579,-0.647203,0.664787,0.533660,-0.608317,0.785182,0.527888,-0.572538,0.677190,0.518801,-0.648966,1.555907,0.241038,-0.685643,1.548235,0.214551,-0.773651,1.559924,0.280457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.654084,-0.742944,0.086319,0.112947,-0.957657,1.335973,0.153359,0.000174,0.048675,-0.000659,0.053843,0.983314,0.006057,0.000377,-0.030025,0.947011,-0.054732,0.000282,-0.023818,0.962904,0.510409,-0.372820,-0.486184,0.603418,-0.613074,0.709904,0.530925,0.000526,0.032971,-0.001283,0.048825,0.882461,-0.073681,0.000913,-0.020616,0.856136,0.040710,0.000371,-0.028209,0.897053,0.172277,0.944904,0.242040,-0.137458,-0.702910,1.554677,0.245050,0.000518,-0.049604,0.020154,-0.005023,0.878138,-0.027515,-0.010959,0.019442,0.857485,0.077118,-0.009195,-0.014419,0.875795,-0.979171,1.385260,0.104622,-0.949637,1.341262,0.182155,-0.944163,1.281393,0.173292,-0.651120,0.665913,0.537916,-0.611797,0.786022,0.531099,-0.576301,0.677769,0.523758,-0.649125,1.555951,0.240762,-0.685782,1.548238,0.214249,-0.773823,1.559840,0.280129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.653930,-0.743087,0.086669,0.112633,-0.957649,1.335809,0.153009,0.000211,0.048675,-0.000659,0.053843,0.976675,0.006057,0.000377,-0.030025,0.936875,-0.054732,0.000282,-0.023818,0.955954,0.507809,-0.378245,-0.484351,0.603710,-0.616777,0.710686,0.534697,0.000526,0.032971,-0.001283,0.048825,0.863293,-0.073681,0.000913,-0.020616,0.849528,0.040710,0.000371,-0.028209,0.892667,0.170681,0.946713,0.236243,-0.137083,-0.703119,1.554548,0.244842,0.000468,-0.049604,0.020154,-0.005023,0.878316,-0.027515,-0.010959,0.019442,0.856446,0.077118,-0.009195,-0.014419,0.876371,-0.979177,1.385025,0.104263,-0.949644,1.341127,0.181762,-0.944126,1.281270,0.172993,-0.655054,0.666919,0.541909,-0.615099,0.786828,0.534109,-0.580173,0.678307,0.528072,-0.649293,1.556034,0.240484,-0.686020,1.547866,0.214229,-0.774040,1.559744,0.279810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.653572,-0.743499,0.086689,0.111969,-0.957632,1.335661,0.152621,0.000211,0.048675,-0.000659,0.053843,0.963846,0.006057,0.000377,-0.030025,0.927571,-0.054732,0.000282,-0.023818,0.950124,0.504633,-0.381129,-0.484784,0.604211,-0.620364,0.711514,0.538161,0.000490,0.032971,-0.001283,0.048825,0.869368,-0.073681,0.000913,-0.020616,0.864514,0.040710,0.000371,-0.028209,0.898383,0.169915,0.946928,0.235869,-0.137196,-0.703302,1.554540,0.244558,0.000462,-0.049604,0.020154,-0.005023,0.879649,-0.027515,-0.010959,0.019442,0.880094,0.077118,-0.009195,-0.014419,0.893567,-0.979170,1.384801,0.103815,-0.949658,1.341022,0.181400,-0.944071,1.281156,0.172641,-0.658895,0.668020,0.545690,-0.618296,0.787651,0.537057,-0.583897,0.678866,0.531735,-0.649488,1.556112,0.240201,-0.686180,1.547870,0.213951,-0.774234,1.559637,0.279520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.653354,-0.743774,0.086765,0.111357,-0.957605,1.335529,0.152221,0.000199,0.048675,-0.000659,0.053843,0.967233,0.006057,0.000377,-0.030025,0.934236,-0.054732,0.000282,-0.023818,0.949236,0.501709,-0.382231,-0.486154,0.604849,-0.623979,0.712313,0.541337,0.000574,0.032971,-0.001283,0.048825,0.840836,-0.073681,0.000913,-0.020616,0.850082,0.040710,0.000371,-0.028209,0.878900,0.170099,0.945313,0.241816,-0.137749,-0.703487,1.554663,0.244202,0.000550,-0.049604,0.020154,-0.005023,0.868331,-0.027515,-0.010959,0.019442,0.849739,0.077118,-0.009195,-0.014419,0.869407,-0.979145,1.384601,0.103341,-0.949647,1.340926,0.181044,-0.944024,1.281056,0.172274,-0.662601,0.669065,0.549164,-0.621595,0.788411,0.539908,-0.587730,0.679464,0.534936,-0.649679,1.556179,0.239948,-0.686323,1.548300,0.213399,-0.774457,1.559507,0.279249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
