Format Version,1.1,Take Name,push position 2,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2017-04-06 03.31.07.847 PM,Total Frames,3040,Rotation Type,Quaternion

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2_1,Rigid Body 2_1,Rigid Body 2_1,Rigid Body 2_1,Rigid Body 2_2,Rigid Body 2_2,Rigid Body 2_2,Rigid Body 2_2,Rigid Body 2_3,Rigid Body 2_3,Rigid Body 2_3,Rigid Body 2_3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3_1,Rigid Body 3_1,Rigid Body 3_1,Rigid Body 3_1,Rigid Body 3_2,Rigid Body 3_2,Rigid Body 3_2,Rigid Body 3_2,Rigid Body 3_3,Rigid Body 3_3,Rigid Body 3_3,Rigid Body 3_3,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 2_1,Rigid Body 2_1,Rigid Body 2_1,Rigid Body 2_2,Rigid Body 2_2,Rigid Body 2_2,Rigid Body 2_3,Rigid Body 2_3,Rigid Body 2_3,Rigid Body 3_1,Rigid Body 3_1,Rigid Body 3_1,Rigid Body 3_2,Rigid Body 3_2,Rigid Body 3_2,Rigid Body 3_3,Rigid Body 3_3,Rigid Body 3_3,Marker_64004,Marker_64004,Marker_64004,Marker_64008,Marker_64008,Marker_64008,Marker_64018,Marker_64018,Marker_64018,Marker_64027,Marker_64027,Marker_64027,Marker_62805,Marker_62805,Marker_62805,Marker_64050,Marker_64050,Marker_64050,Marker_62781,Marker_62781,Marker_62781,Marker_62783,Marker_62783,Marker_62783,Marker_64085,Marker_64085,Marker_64085,Marker_64102,Marker_64102,Marker_64102,Marker_64146,Marker_64146,Marker_64146,Marker_64174,Marker_64174,Marker_64174,Marker_64215,Marker_64215,Marker_64215,Marker_64232,Marker_64232,Marker_64232,Marker_64265,Marker_64265,Marker_64265,Marker_64301,Marker_64301,Marker_64301,Marker_64318,Marker_64318,Marker_64318,Marker_64319,Marker_64319,Marker_64319,Marker_64311,Marker_64311,Marker_64311,Marker_64336,Marker_64336,Marker_64336,Marker_64376,Marker_64376,Marker_64376,Marker_64401,Marker_64401,Marker_64401,Marker_64434,Marker_64434,Marker_64434,Marker_64447,Marker_64447,Marker_64447,Marker_64552,Marker_64552,Marker_64552,Marker_64588,Marker_64588,Marker_64588,Marker_64631,Marker_64631,Marker_64631,Marker_64652,Marker_64652,Marker_64652,Marker_64676,Marker_64676,Marker_64676,Marker_64682,Marker_64682,Marker_64682
,,"BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","BF3C7BB9E98811E63CBDA4E606E08B82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","38490E3AEF0C11E63CBDA4E606E08C82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","D922B33AFAB611E63CBDA4E606E08D82","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E3573300000001","8392B20CF49E3573300000001","8392B20CF49E3573300000001","8392B20CF49E3573300000002","8392B20CF49E3573300000002","8392B20CF49E3573300000002","8392B20CF49E3573300000003","8392B20CF49E3573300000003","8392B20CF49E3573300000003","8392B20CF49E3570FA04","8392B20CF49E3570FA04","8392B20CF49E3570FA04","8392B20CF49E3570FA08","8392B20CF49E3570FA08","8392B20CF49E3570FA08","8392B20CF49E3570FA12","8392B20CF49E3570FA12","8392B20CF49E3570FA12","8392B20CF49E3570FA1B","8392B20CF49E3570FA1B","8392B20CF49E3570FA1B","8392B20CF49E3570F555","8392B20CF49E3570F555","8392B20CF49E3570F555","8392B20CF49E3570FA32","8392B20CF49E3570FA32","8392B20CF49E3570FA32","8392B20CF49E3570F53D","8392B20CF49E3570F53D","8392B20CF49E3570F53D","8392B20CF49E3570F53F","8392B20CF49E3570F53F","8392B20CF49E3570F53F","8392B20CF49E3570FA55","8392B20CF49E3570FA55","8392B20CF49E3570FA55","8392B20CF49E3570FA66","8392B20CF49E3570FA66","8392B20CF49E3570FA66","8392B20CF49E3570FA92","8392B20CF49E3570FA92","8392B20CF49E3570FA92","8392B20CF49E3570FAAE","8392B20CF49E3570FAAE","8392B20CF49E3570FAAE","8392B20CF49E3570FAD7","8392B20CF49E3570FAD7","8392B20CF49E3570FAD7","8392B20CF49E3570FAE8","8392B20CF49E3570FAE8","8392B20CF49E3570FAE8","8392B20CF49E3570FB09","8392B20CF49E3570FB09","8392B20CF49E3570FB09","8392B20CF49E3570FB2D","8392B20CF49E3570FB2D","8392B20CF49E3570FB2D","8392B20CF49E3570FB3E","8392B20CF49E3570FB3E","8392B20CF49E3570FB3E","8392B20CF49E3570FB3F","8392B20CF49E3570FB3F","8392B20CF49E3570FB3F","8392B20CF49E3570FB37","8392B20CF49E3570FB37","8392B20CF49E3570FB37","8392B20CF49E3570FB50","8392B20CF49E3570FB50","8392B20CF49E3570FB50","8392B20CF49E3570FB78","8392B20CF49E3570FB78","8392B20CF49E3570FB78","8392B20CF49E3570FB91","8392B20CF49E3570FB91","8392B20CF49E3570FB91","8392B20CF49E3570FBB2","8392B20CF49E3570FBB2","8392B20CF49E3570FBB2","8392B20CF49E3570FBBF","8392B20CF49E3570FBBF","8392B20CF49E3570FBBF","8392B20CF49E3570FC28","8392B20CF49E3570FC28","8392B20CF49E3570FC28","8392B20CF49E3570FC4C","8392B20CF49E3570FC4C","8392B20CF49E3570FC4C","8392B20CF49E3570FC77","8392B20CF49E3570FC77","8392B20CF49E3570FC77","8392B20CF49E3570FC8C","8392B20CF49E3570FC8C","8392B20CF49E3570FC8C","8392B20CF49E3570FCA4","8392B20CF49E3570FCA4","8392B20CF49E3570FCA4","8392B20CF49E3570FCAA","8392B20CF49E3570FCAA","8392B20CF49E3570FCAA"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker (m),Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker (m),Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker (m),Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.704274,0.701965,-0.047019,-0.095035,-0.996922,1.377033,0.103683,0.000099,0.048675,-0.000659,0.053843,0.968112,0.006057,0.000377,-0.030025,0.971147,-0.054732,0.000282,-0.023818,0.986249,-0.543568,0.759283,0.251090,-0.254906,-0.839934,0.738903,0.534521,0.000562,0.032971,-0.001283,0.048825,0.862468,-0.073681,0.000913,-0.020616,0.792863,0.040710,0.000371,-0.028209,0.923116,-0.144298,-0.953340,-0.235735,0.121448,-0.784707,1.556005,0.230872,0.000459,-0.049604,0.020154,-0.005023,0.901201,-0.027515,-0.010959,0.019442,0.901067,0.077118,-0.009195,-0.014419,0.853160,-1.007813,1.429285,0.054525,-0.990535,1.381022,0.133189,-0.992420,1.320791,0.123333,-0.880244,0.712585,0.501193,-0.806738,0.806771,0.541886,-0.832853,0.697308,0.560464,-0.730898,1.559861,0.228695,-0.765855,1.550110,0.201200,-0.857388,1.558046,0.262732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.705391,0.700901,-0.046776,-0.094733,-0.996453,1.376939,0.103582,0.000111,0.048675,-0.000659,0.053843,0.968112,0.006057,0.000377,-0.030025,0.971147,-0.054732,0.000282,-0.023818,0.986249,-0.543969,0.759023,0.251281,-0.254636,-0.840017,0.738805,0.534101,0.000624,0.032971,-0.001283,0.048825,0.862468,-0.073681,0.000913,-0.020616,0.792863,0.040710,0.000371,-0.028209,0.923116,-0.144046,-0.953399,-0.235671,0.121408,-0.784766,1.555985,0.230882,0.000458,-0.049604,0.020154,-0.005023,0.901201,-0.027515,-0.010959,0.019442,0.901067,0.077118,-0.009195,-0.014419,0.853160,-1.007150,1.429224,0.054391,-0.990076,1.380911,0.133079,-0.992132,1.320683,0.123275,-0.880268,0.712523,0.500761,-0.806898,0.806648,0.541522,-0.832921,0.697194,0.560002,-0.730949,1.559865,0.228706,-0.765911,1.550099,0.201227,-0.857455,1.557991,0.262722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.706426,0.699916,-0.046495,-0.094438,-0.995980,1.376847,0.103495,0.000106,0.048675,-0.000659,0.053843,0.964703,0.006057,0.000377,-0.030025,0.971278,-0.054732,0.000282,-0.023818,0.981079,-0.544367,0.758853,0.251351,-0.254224,-0.840114,0.738715,0.533687,0.000641,0.032971,-0.001283,0.048825,0.844807,-0.073681,0.000913,-0.020616,0.774428,0.040710,0.000371,-0.028209,0.912483,-0.143828,-0.953423,-0.235740,0.121346,-0.784826,1.555975,0.230886,0.000456,-0.049604,0.020154,-0.005023,0.899994,-0.027515,-0.010959,0.019442,0.903085,0.077118,-0.009195,-0.014419,0.853673,-1.006498,1.429163,0.054257,-0.989609,1.380795,0.133015,-0.991835,1.320583,0.123214,-0.880331,0.712455,0.500288,-0.807055,0.806541,0.541179,-0.833000,0.697091,0.559569,-0.731016,1.559876,0.228727,-0.765960,1.550100,0.201230,-0.857522,1.557949,0.262710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.707437,0.698939,-0.046210,-0.094240,-0.995462,1.376761,0.103421,0.000107,0.048675,-0.000659,0.053843,0.967594,0.006057,0.000377,-0.030025,0.976858,-0.054732,0.000282,-0.023818,0.975796,-0.544694,0.758796,0.251340,-0.253702,-0.840226,0.738633,0.533286,0.000667,0.032971,-0.001283,0.048825,0.843232,-0.073681,0.000913,-0.020616,0.764761,0.040710,0.000371,-0.028209,0.911556,-0.143607,-0.953356,-0.236165,0.121308,-0.784891,1.555964,0.230884,0.000455,-0.049604,0.020154,-0.005023,0.901157,-0.027515,-0.010959,0.019442,0.902795,0.077118,-0.009195,-0.014419,0.854224,-1.005800,1.429093,0.054175,-0.989097,1.380700,0.132940,-0.991487,1.320491,0.123149,-0.880383,0.712409,0.499843,-0.807211,0.806451,0.540847,-0.833127,0.696982,0.559144,-0.731081,1.559883,0.228747,-0.766017,1.550120,0.201226,-0.857593,1.557890,0.262688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.708447,0.697900,-0.046469,-0.094228,-0.994944,1.376668,0.103349,0.000103,0.048675,-0.000659,0.053843,0.970892,0.006057,0.000377,-0.030025,0.975777,-0.054732,0.000282,-0.023818,0.975810,-0.545002,0.758742,0.251452,-0.253092,-0.840344,0.738554,0.532856,0.000700,0.032971,-0.001283,0.048825,0.824406,-0.073681,0.000913,-0.020616,0.747547,0.040710,0.000371,-0.028209,0.903217,-0.143384,-0.953397,-0.236154,0.121274,-0.784956,1.555951,0.230878,0.000459,-0.049604,0.020154,-0.005023,0.901144,-0.027515,-0.010959,0.019442,0.902039,0.077118,-0.009195,-0.014419,0.852621,-1.005158,1.428997,0.054064,-0.988552,1.380597,0.132874,-0.991120,1.320411,0.123109,-0.880449,0.712374,0.499360,-0.807364,0.806349,0.540508,-0.833266,0.696879,0.558674,-0.731148,1.559892,0.228747,-0.766067,1.550115,0.201223,-0.857671,1.557846,0.262672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.709473,0.696844,-0.046526,-0.094298,-0.994415,1.376582,0.103292,0.000105,0.048675,-0.000659,0.053843,0.970528,0.006057,0.000377,-0.030025,0.975371,-0.054732,0.000282,-0.023818,0.974985,-0.545256,0.758640,0.251728,-0.252576,-0.840468,0.738476,0.532428,0.000692,0.032971,-0.001283,0.048825,0.827506,-0.073681,0.000913,-0.020616,0.748897,0.040710,0.000371,-0.028209,0.904243,-0.143189,-0.953383,-0.236316,0.121299,-0.785019,1.555946,0.230851,0.000465,-0.049604,0.020154,-0.005023,0.899109,-0.027515,-0.010959,0.019442,0.899808,0.077118,-0.009195,-0.014419,0.852135,-1.004490,1.428929,0.053995,-0.988005,1.380497,0.132811,-0.990750,1.320319,0.123069,-0.880560,0.712325,0.498874,-0.807496,0.806265,0.540181,-0.833397,0.696775,0.558204,-0.731209,1.559908,0.228733,-0.766129,1.550125,0.201188,-0.857737,1.557805,0.262642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
